EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;PosHorizColeta;PosVertColeta;Choveu;Profundidade;TempAr;TempAmostra;pH;Cor;Turbidez;CondutividadeEletrica;DurezaTotal;Dureza;DQO;DBO;OD;SolTotais;SolFixos;SolVolateis;SolSuspensaoTotais;SolSuspensaoFixos;SolSuspensaoVolateis;SolDissolvidosTotais;SolDissolvidosFixos;SolDissolvidosVolateis;SolSedimentaveis;Detergentes;AlcalinidadeCO3;AlcalinidadeHCO3;AlcalinidadeOH;Cloretos;Sulfatos;Sulfetos;Fluoretos;FosfatoTotal;Cianetos;NitrogenioTotal;AmoniaNaoIonizavel;NitrogenioAmoniacal;Nitratos;Nitritos;CompostosOrganoclorados;CompostosOrganofosforados;Aluminio;Arsenio;Cadmio;Chumbo;Cobre;CromoTrivalente;CromoHexavalente;Manganes;Mercurio;Niquel;Zinco;IndiceFenois;ColiformesTotais;ColiformesFecais;CloroResidual;Bario;Berilio;Boro;Cobalto;Estanho;Litio;Prata;Selenio;UranioTotal;Vanadio;Benzeno;BenzoAPireno;n11Dicloroeteno;n12Dicloroetano;Pentaclorofenol;Tetracloroeteno;Tricloroeteno;TetracloretoCarbono;n246Triclorofenol;Aldrin;Clordano;DDT;Dieldrin;Endrin;Endossulfan;EpoxidoHeptacloro;Heptacloro;Lindano;Metoxicloro;DodecacloroNonacloro;BifenilasPolicloradas;Toxafeno;Demeton;Gution;Malation;Paration;Carbaril;Acido24Diclorofenoxiacetico;n245TP;n245T;BHC;Ethion;DySystonDisulfton;Phosdrin;DDEPP;AzinfosEtil;Diazinon;EstreptococosFecais;Salmonelas;Colifagos;BacteriasHeterotroficas;Protozoarios;Fungos;Algas;ContagemBacteriasPlaca;Clorofila;OleosGraxas;AlcalinidadeTotal;CarbonoOrganicoTotal;Hidrocarbonetos;OrtofosfatoTotal;CromoTotal;MetilParation;NitrogenioOrganico;SodioTotal;MagnesioTotal;SilicaDissolvida;PotassioTotal;CalcioTotal;FerroTotal;DescargaLiquida;FosforoTotal;BismutoTotal;Acidez;NitrogenioTotalKJELDAHL;NitrogenioAlbuminoide;Transparencia;EnteroBacteriasPatogenicas;ZooplanctonTotal;Amoniaco;IQA;ColiformesTermotolerantes;Escherichia;Aluminiodissolvido;Borodissolvido;Cianetolivre;Cobredissolvido;CondutividadeEspecifica;Densidadecianobacterias;Durezamagnesio;FerroDissolvido;FitoplanctonQuantitativo;ODsaturacao;ParametroProfundidadeQualAgua001Status;QualAgua002Status;QualAgua003Status;QualAgua004Status;QualAgua005Status;QualAgua006Status;QualAgua007Status;QualAgua008Status;QualAgua009Status;QualAgua010Status;QualAgua011Status;QualAgua012Status;QualAgua013Status;QualAgua014Status;QualAgua015Status;QualAgua016Status;QualAgua017Status;QualAgua018Status;QualAgua019Status;QualAgua020Status;QualAgua021Status;QualAgua022Status;QualAgua023Status;QualAgua024Status;QualAgua025Status;QualAgua026Status;QualAgua027Status;QualAgua028Status;QualAgua029Status;QualAgua030Status;QualAgua031Status;QualAgua032Status;QualAgua033Status;QualAgua034Status;QualAgua035Status;QualAgua036Status;QualAgua037Status;QualAgua038Status;QualAgua039Status;QualAgua040Status;QualAgua041Status;QualAgua042Status;QualAgua043Status;QualAgua044Status;QualAgua045Status;QualAgua046Status;QualAgua047Status;QualAgua048Status;QualAgua049Status;QualAgua050Status;QualAgua051Status;QualAgua052Status;QualAgua053Status;QualAgua054Status;QualAgua055Status;QualAgua056Status;QualAgua057Status;QualAgua058Status;QualAgua059Status;QualAgua060Status;QualAgua061Status;QualAgua062Status;QualAgua063Status;QualAgua064Status;QualAgua065Status;QualAgua066Status;QualAgua067Status;QualAgua068Status;QualAgua069Status;QualAgua070Status;QualAgua071Status;QualAgua072Status;QualAgua073Status;QualAgua074Status;QualAgua075Status;QualAgua076Status;QualAgua077Status;QualAgua078Status;QualAgua079Status;QualAgua080Status;QualAgua081Status;QualAgua082Status;QualAgua083Status;QualAgua084Status;QualAgua085Status;QualAgua086Status;QualAgua087Status;QualAgua088Status;QualAgua089Status;QualAgua090Status;QualAgua091Status;QualAgua092Status;QualAgua093Status;QualAgua094Status;QualAgua095Status;QualAgua096Status;QualAgua097Status;QualAgua098Status;QualAgua099Status;QualAgua100Status;QualAgua101Status;QualAgua102Status;QualAgua103Status;QualAgua104Status;QualAgua105Status;QualAgua106Status;QualAgua107Status;QualAgua108Status;QualAgua109Status;QualAgua110Status;QualAgua111Status;QualAgua112Status;QualAgua113Status;QualAgua114Status;QualAgua115Status;QualAgua116Status;QualAgua117Status;QualAgua118Status;QualAgua119Status;QualAgua120Status;QualAgua121Status;QualAgua122Status;QualAgua123Status;QualAgua124Status;QualAgua125Status;QualAgua126Status;QualAgua127Status;QualAgua128Status;QualAgua129Status;QualAgua130Status;QualAgua131Status;QualAgua132Status;QualAgua133Status;QualAgua134Status;QualAgua135Status;QualAgua136Status;QualAgua137Status;QualAgua138Status;QualAgua139Status;QualAgua140Status;QualAgua141Status;QualAgua142Status;QualAgua143Status;QualAgua144Status;QualAgua145Status;QualAgua146Status;QualAgua147Status;
20001050;1;01/05/2010;01/01/1900 10:00;35010;;;;;22,8;;7,4;;2,13;;;;;0,9;8,3;4,1;;;;;;;;;;;;;;;;;;0;;0;;0;0,02;0,01;;;;;;;;;;;;;;;;930;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;0;;;;;;75;;;;;;;;;;;;;;;1;1;;1;;;;;1;1;1;;;;;;;;;;;;;;;;;;1;;1;;1;1;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;
20001050;1;01/08/2010;01/01/1900 10:00;35011;;;;;20,6;;7,7;;0,39;;;;;1,1;8,3;118;;;;;;;;;;;;;;;;;;0;;0,02;;0;0;0,02;;;;;;;;;;;;;;;;1300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;0;;;;;;74;;;;;;;;;;;;;;;1;1;;1;;;;;1;1;1;;;;;;;;;;;;;;;;;;1;;1;;1;1;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;
20001050;1;01/11/2010;01/01/1900 10:00;35012;;;;;21,9;;7,4;;13;;;;;10;7,3;62;;;;;;;;;;;;;;;;;;0;;0,06;;0,03;0,01;0,02;;;;;;;;;;;;;;;;170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;0;;;;;;70;;;;;;;;;;;;;;;1;1;;1;;;;;1;1;1;;;;;;;;;;;;;;;;;;1;;1;;1;1;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;
20001130;1;01/02/2010;01/01/1900 10:00;35013;;;;;25;;5;;1,99;;;;;1,9;6,6;73;;;;;;;;;;;;;;;;;;0;;0;;0;0,11;0;;;;;;;;;;;;;;;;170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;0;;;;;;67;;;;;;;;;;;;;;;1;1;;1;;;;;1;1;1;;;;;;;;;;;;;;;;;;1;;1;;4;1;4;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;4;;;;;;;;;;;;;;;
20001130;1;01/05/2010;01/01/1900 10:00;35014;;;;;23,6;;7,5;;2,73;;;;;1,3;7,6;6,9;;;;;;;;;;;;;;;;;;0;;0;;0;0,01;0;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;0;;;;;;86;;;;;;;;;;;;;;;1;1;;1;;;;;1;1;1;;;;;;;;;;;;;;;;;;1;;1;;4;1;4;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;4;;;;;;;;;;;;;;;
20001130;1;01/08/2010;01/01/1900 10:00;35015;;;;;20,6;;8,3;;0,86;;;;;0,8;7,7;117;;;;;;;;;;;;;;;;;;0;;0;;0;0;0,02;;;;;;;;;;;;;;;;68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;0;;;;;;82;;;;;;;;;;;;;;;1;1;;1;;;;;1;1;1;;;;;;;;;;;;;;;;;;1;;1;;4;1;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;4;;;;;;;;;;;;;;;
20001130;1;01/11/2010;01/01/1900 10:00;35016;;;;;24;;7,3;;35;;;;;10;8,7;23;;;;;;;;;;;;;;;;;;0;;0;;0,04;0,01;0,01;;;;;;;;;;;;;;;;1700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;0;;;;;;62;;;;;;;;;;;;;;;1;1;;1;;;;;1;1;1;;;;;;;;;;;;;;;;;;1;;1;;1;1;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;4;;;;;;;;;;;;;;;
20001200;1;01/02/2009;01/01/1900 10:00;35017;;;;;24,1;;7,86;;15,2;;;;;0,8;6,8;943;;;;;;;;;;;;;;;;;;0,098;;0;;0;0,09;0,001;;;;;;;;;;;;;;;;220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0,032;;;0;;;;;;70;;;;;;;;;;;;;;;1;1;;1;;;;;1;1;1;;;;;;;;;;;;;;;;;;1;;1;;4;1;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;4;;;;;;;;;;;;;;;
20001200;1;01/02/2010;01/01/1900 10:00;35018;;;;;25;;7,6;;95;;;;;0,8;5,6;247;;;;;;;;;;;;;;;;;;0;;0;;0;0,14;0,01;;;;;;;;;;;;;;;;3500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;0;;;;;;57;;;;;;;;;;;;;;;1;1;;1;;;;;1;1;1;;;;;;;;;;;;;;;;;;1;;1;;4;1;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;4;;;;;;;;;;;;;;;
20001200;1;01/05/2010;01/01/1900 10:00;35019;;;;;23,5;;7,6;;1,61;;;;;1,2;7,3;9,8;;;;;;;;;;;;;;;;;;0;;0;;0;0,02;0,02;;;;;;;;;;;;;;;;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;0;;;;;;83;;;;;;;;;;;;;;;1;1;;1;;;;;1;1;1;;;;;;;;;;;;;;;;;;1;;1;;4;1;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;4;;;;;;;;;;;;;;;
20001200;1;01/08/2010;01/01/1900 10:00;35020;;;;;20;;8,1;;0,7;;;;;1,7;8,9;749;;;;;;;;;;;;;;;;;;0;;0;;0;0,01;0,02;;;;;;;;;;;;;;;;130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;0;;;;;;75;;;;;;;;;;;;;;;1;1;;1;;;;;1;1;1;;;;;;;;;;;;;;;;;;1;;1;;4;1;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;4;;;;;;;;;;;;;;;
20001200;1;01/11/2010;01/01/1900 10:00;35021;;;;;23;;6,8;;208;;;;;20;10;282;;;;;;;;;;;;;;;;;;0,324;;0;;0,05;0,02;0,03;;;;;;;;;;;;;;;;2200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0,106;;;0;;;;;;43;;;;;;;;;;;;;;;1;1;;1;;;;;1;1;1;;;;;;;;;;;;;;;;;;1;;1;;1;1;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;4;;;;;;;;;;;;;;;
20001400;1;01/07/2009;01/01/1900 10:00;35022;;;;;22;;7,26;;1,84;;;;;0,4;8;49;;;;;;;;;;;;;;;;;;0;;0;;0;0,11;0;;;;;;;;;;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;0;;;;;;83;;;;;;;;;;;;;;;1;1;;1;;;;;1;1;1;;;;;;;;;;;;;;;;;;1;;1;;4;1;4;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;4;;;;;;;;;;;;;;;
20001400;1;01/02/2010;01/01/1900 10:00;35023;;;;;23,8;;7,5;;2,47;;;;;0,8;7;62;;;;;;;;;;;;;;;;;;0;;0;;0;0,7;0;;;;;;;;;;;;;;;;78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;0;;;;;;82;;;;;;;;;;;;;;;1;1;;1;;;;;1;1;1;;;;;;;;;;;;;;;;;;1;;1;;4;1;4;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;4;;;;;;;;;;;;;;;
