tecnica,parametro,amostras,mape,mse,rmse,lag
LSTM,Sólido Total,205,2.32,0.01,0.11,3
MLP,Sólido Total,205,1.59,0.01,0.08,4
LSTM,Sólido Total,205,2.17,0.01,0.1,4
MLP,Sólido Total,205,0.75,0.0,0.07,5
LSTM,Sólido Total,205,1.07,0.01,0.08,5
MLP,Sólido Total,205,0.92,0.01,0.07,6
LSTM,Sólido Total,205,2.24,0.01,0.12,6
MLP,Sólido Total,205,1.08,0.01,0.08,7
LSTM,Sólido Total,205,1.47,0.01,0.09,7
MLP,Sólido Total,205,1.44,0.01,0.09,8
LSTM,Sólido Total,205,1.9,0.01,0.11,8
MLP,Sólido Total,205,1.2,0.01,0.08,9
LSTM,Sólido Total,205,2.77,0.02,0.14,9
MLP,Sólido Total,205,3.05,0.02,0.16,10
LSTM,Sólido Total,205,6.33,0.09,0.3,10
MLP,"DBO (5, 20)",161,9.05,0.01,0.11,1
LSTM,"DBO (5, 20)",161,10.24,0.01,0.12,1
MLP,"DBO (5, 20)",161,8.56,0.01,0.1,2
LSTM,"DBO (5, 20)",161,9.79,0.01,0.11,2
MLP,"DBO (5, 20)",161,8.54,0.01,0.1,3
LSTM,"DBO (5, 20)",161,9.5,0.01,0.11,3
MLP,"DBO (5, 20)",161,6.05,0.01,0.09,4
LSTM,"DBO (5, 20)",161,5.92,0.01,0.1,4
MLP,"DBO (5, 20)",161,5.92,0.01,0.1,5
LSTM,"DBO (5, 20)",161,7.15,0.01,0.1,5
MLP,"DBO (5, 20)",161,6.3,0.01,0.1,6
LSTM,"DBO (5, 20)",161,7.62,0.01,0.1,6
MLP,"DBO (5, 20)",161,8.26,0.01,0.12,7
LSTM,"DBO (5, 20)",161,5.86,0.01,0.11,7
MLP,"DBO (5, 20)",161,8.97,0.02,0.13,8
LSTM,"DBO (5, 20)",161,8.25,0.01,0.1,8
MLP,"DBO (5, 20)",161,6.96,0.01,0.1,9
LSTM,"DBO (5, 20)",161,9.22,0.01,0.11,9
MLP,"DBO (5, 20)",161,8.59,0.01,0.11,10
LSTM,"DBO (5, 20)",161,8.76,0.01,0.11,10
MLP,Temperatura da Água,195,2.82,0.01,0.1,1
LSTM,Temperatura da Água,195,2.78,0.01,0.1,1
MLP,Temperatura da Água,195,3.13,0.01,0.12,2
LSTM,Temperatura da Água,195,2.83,0.01,0.11,2
MLP,Temperatura da Água,195,3.31,0.02,0.13,3
LSTM,Temperatura da Água,195,2.9,0.01,0.11,3
MLP,Temperatura da Água,195,3.0,0.01,0.11,4
LSTM,Temperatura da Água,195,2.58,0.01,0.1,4
MLP,Temperatura da Água,195,2.99,0.01,0.11,5
LSTM,Temperatura da Água,195,2.6,0.01,0.1,5
MLP,Temperatura da Água,195,2.72,0.01,0.11,6
LSTM,Temperatura da Água,195,3.12,0.01,0.11,6
MLP,Temperatura da Água,195,3.24,0.01,0.12,7
LSTM,Temperatura da Água,195,2.56,0.01,0.1,7
MLP,Temperatura da Água,195,3.03,0.01,0.11,8
LSTM,Temperatura da Água,195,2.68,0.01,0.1,8
MLP,Temperatura da Água,195,2.77,0.01,0.11,9
LSTM,Temperatura da Água,195,2.74,0.01,0.1,9
MLP,Temperatura da Água,195,2.7,0.01,0.1,10
LSTM,Temperatura da Água,195,3.21,0.01,0.12,10
MLP,pH,179,1.55,0.0,0.03,1
LSTM,pH,179,1.54,0.0,0.03,1
MLP,pH,179,1.54,0.0,0.03,2
LSTM,pH,179,1.51,0.0,0.03,2
MLP,pH,179,1.59,0.0,0.03,3
LSTM,pH,179,1.5,0.0,0.03,3
MLP,pH,179,1.55,0.0,0.03,4
LSTM,pH,179,1.46,0.0,0.03,4
MLP,pH,179,1.65,0.0,0.04,5
LSTM,pH,179,1.58,0.0,0.03,5
MLP,pH,179,1.75,0.0,0.04,6
LSTM,pH,179,1.49,0.0,0.03,6
MLP,pH,179,1.71,0.0,0.04,7
LSTM,pH,179,1.48,0.0,0.03,7
MLP,pH,179,1.73,0.0,0.04,8
LSTM,pH,179,1.59,0.0,0.03,8
MLP,pH,179,1.73,0.0,0.04,9
LSTM,pH,179,1.48,0.0,0.03,9
MLP,pH,179,1.72,0.0,0.04,10
LSTM,pH,179,1.57,0.0,0.03,10
