,parametro,AM,mape_treino,rmse_treino,std_rmse_treino,r_quad_treino,mape_teste,rmse_teste,std_rmse_teste,r_quad_teste
23,solido,LSTM (Todas var.),2.73,0.08,0.02,0.17,2.82,0.09,0.01,0.1
24,temperatura,RL (Todas var.),2.16,0.04,0.0,0.08,2.18,0.04,0.0,0.01
25,temperatura,RF (Todas var.),1.5,0.02,0.02,0.51,2.18,0.04,0.0,0.01
26,temperatura,MLP (Todas var.),2.34,0.04,0.01,0.14,2.43,0.04,0.0,0.01
27,temperatura,LSTM (Todas var.),2.31,0.04,0.01,0.09,2.32,0.04,0.0,0.01
28,turbidez,RL (Todas var.),12.22,0.21,0.0,0.03,14.21,0.24,0.0,0.0
29,turbidez,RF (Todas var.),8.44,0.14,0.06,0.49,13.98,0.24,0.0,0.01
30,turbidez,MLP (Todas var.),11.6,0.2,0.05,0.12,14.03,0.23,0.0,0.0
31,turbidez,LSTM (Todas var.),12.08,0.21,0.04,0.07,14.18,0.23,0.0,0.0
0,ph,RL (Var. selec.),0.15,0.0,0.0,0.08,0.17,0.0,0.0,0.11
1,ph,RF (Var. selec.),0.11,0.0,0.0,0.5,0.17,0.0,0.0,0.09
2,ph,MLP (Var. selec.),2.12,0.02,0.01,0.18,2.17,0.02,0.01,0.11
3,ph,LSTM (Var. selec.),1.27,0.01,0.01,0.13,1.31,0.01,0.01,0.12
4,coliformes,RL (Var. selec.),57.48,1.15,0.0,0.05,29.83,0.93,0.0,0.02
5,coliformes,RF (Var. selec.),44.71,0.96,0.18,0.32,30.24,1.03,0.1,0.03
6,coliformes,MLP (Var. selec.),86.14,1.75,0.46,0.11,49.77,1.53,0.29,0.02
7,coliformes,LSTM (Var. selec.),76.35,1.53,0.43,0.08,41.69,1.27,0.37,0.02
8,dbo,RL (Var. selec.),19.8,0.23,0.0,0.15,17.27,0.21,0.0,0.22
9,dbo,RF (Var. selec.),13.4,0.16,0.07,0.54,16.53,0.21,0.0,0.24
10,dbo,MLP (Var. selec.),22.74,0.26,0.07,0.28,21.61,0.26,0.03,0.23
11,dbo,LSTM (Var. selec.),22.13,0.25,0.05,0.21,20.61,0.24,0.03,0.19
12,fosforo,RL (Var. selec.),102.72,0.11,0.0,0.07,69.34,0.11,0.0,0.06
13,fosforo,RF (Var. selec.),72.18,0.08,0.04,0.49,69.39,0.11,0.0,0.05
14,fosforo,MLP (Var. selec.),110.55,0.11,0.03,0.17,80.33,0.12,0.0,0.04
15,fosforo,LSTM (Var. selec.),108.83,0.11,0.02,0.13,76.79,0.11,0.0,0.05
16,od,RL (Var. selec.),15.1,0.12,0.0,0.01,13.9,0.11,0.0,0.01
17,od,RF (Var. selec.),10.9,0.08,0.04,0.42,15.42,0.12,0.02,0.01
18,od,MLP (Var. selec.),25.3,0.2,0.07,0.11,27.22,0.21,0.05,0.01
19,od,LSTM (Var. selec.),21.04,0.17,0.07,0.07,21.56,0.17,0.06,0.01
20,solido,RL (Var. selec.),2.44,0.08,0.0,0.22,2.7,0.08,0.0,0.06
21,solido,RF (Var. selec.),1.68,0.06,0.02,0.58,2.63,0.08,0.0,0.1
22,solido,MLP (Var. selec.),2.51,0.08,0.02,0.25,2.64,0.08,0.0,0.08
23,solido,LSTM (Var. selec.),2.6,0.08,0.01,0.18,2.66,0.08,0.0,0.09
24,turbidez,RL (Var. selec.),12.98,0.22,0.0,0.0,12.97,0.22,0.0,0.0
25,turbidez,RF (Var. selec.),9.25,0.16,0.06,0.42,14.32,0.25,0.03,0.01
26,turbidez,MLP (Var. selec.),12.04,0.2,0.04,0.11,13.44,0.24,0.02,0.0
27,turbidez,LSTM (Var. selec.),12.48,0.21,0.03,0.06,13.22,0.23,0.02,0.0
